shelter_name,shelter_id,latitude,longitude,gen,bez,nuts,nuts2,bundesland
4. Frauen*- und Kinderschutzhaus Leipzig,2317,51.3406321,12.3747329,Leipzig,Kreisfreie Stadt,DED51,DED,Sachsen
Frauen- und Kinderschutzhaus Leipzig,2376,51.3406321,12.3747329,Leipzig,Kreisfreie Stadt,DED51,DED,Sachsen
1. Autonomes Frauenhaus,2027,51.325187635158,12.373901299377,Leipzig,Kreisfreie Stadt,DED51,DED,Sachsen
S.H.E. - Schutzhaus für geflüchtete Frauen,2029,51.324894093361,12.374329706113,Leipzig,Kreisfreie Stadt,DED51,DED,Sachsen
Frauen- und Kinderschutzhaus Pirna,2072,50.9624776,13.9284303,Sächsische Schweiz-Osterzgebirge,Landkreis,DED2F,DED,Sachsen
KARO e.V.,2266,50.4950632,12.1346523,Vogtlandkreis,Landkreis,DED44,DED,Sachsen
Frauen- und Kinderschutzhaus Radebeul,2045,51.1031702,13.6215949,Meißen,Landkreis,DED2E,DED,Sachsen
Frauenschutzwohnungen Landkreis Nordsachsen,2042,51.5628862,12.9909587,Nordsachsen,Landkreis,DED53,DED,Sachsen
Frauen-und Kinderschutzwohnung &quotZuflucht&quot Lk Görlitz,2338,50.883994699653,14.806442202914,Görlitz,Landkreis,DED2D,DED,Sachsen
Frauenschutzeinrichtung Zwickau Stadt,2044,50.726853592716,12.490858252887,Zwickau,Landkreis,DED45,DED,Sachsen
Frauenschutzhaus Bautzen,2498,51.182293,14.4237749,Bautzen,Landkreis,DED2C,DED,Sachsen
Frauenhaus Bad Hersfeld,2114,50.869468708997,9.714945143903,Hersfeld-Rotenburg,Landkreis,DE733,DE7,Hessen
AWO Frauenhaus &quotLotte Lemke&quot,2103,50.2268308,8.6181618,Hochtaunuskreis,Landkreis,DE718,DE7,Hessen
Haus für Frauen in Not,2150,50.142945932409,8.06664247563,Rheingau-Taunus-Kreis,Landkreis,DE71D,DE7,Hessen
Autonomes Frauenhaus,2081,51.11062982947,9.116401666944,Waldeck-Frankenberg,Landkreis,DE736,DE7,Hessen
Frauenhaus im Landkreis Kassel,2035,51.2550775,9.4119007,Kassel,Landkreis,DE734,DE7,Hessen
Frauenhaus Bergstraße,2043,49.688967095718,8.617601744187,Bergstraße,Landkreis,DE715,DE7,Hessen
Frauenhaus Darmstadt,2070,49.885947405614,8.654001172839,Darmstadt,Kreisfreie Stadt,DE711,DE7,Hessen
Frauen - und Kinderschutzhaus,2339,49.893363,8.836827,Darmstadt-Dieburg,Landkreis,DE716,DE7,Hessen
Frauenhaus Erbach,2261,49.653690533425,8.995164437466,Odenwaldkreis,Landkreis,DE71B,DE7,Hessen
Autonomes Frauenhaus Frankfurt,2091,50.1109221,8.6821267,Frankfurt am Main,Kreisfreie Stadt,DE712,DE7,Hessen
Frauenhaus Wetterau,2059,50.332736759446,8.762147100409,Wetteraukreis,Landkreis,DE71E,DE7,Hessen
Frauenhaus Fulda,2294,50.555220369978,9.649742916617,Fulda,Landkreis,DE732,DE7,Hessen
Autonomes Frauenhaus Gießen,2181,50.581233679102,8.666742445447,Gießen,Landkreis,DE721,DE7,Hessen
Frauenhaus Sozialdienst katholischer Frauen e.V.,2247,50.572063246443,8.667524534963,Gießen,Landkreis,DE721,DE7,Hessen
